Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%),Cluster,Cluster_Selected,PCA1,PCA2
251,51.0,52.0,50.0,50.0,1,1.0,1.96,379,44,1.0,0.0,0,2,2,0.29079022950325356,2.432815702806125
242,50.0,50.0,50.0,50.0,3,0.0,0.0,297,91,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
239,50.0,50.0,50.0,50.0,3,0.0,0.0,768,530,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
230,50.0,50.0,50.0,50.0,3,0.0,0.0,665,427,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
226,50.0,50.0,50.0,50.0,3,0.0,0.0,452,59,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
222,50.0,50.0,50.0,50.0,3,0.0,0.0,642,273,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
219,50.0,50.0,50.0,50.0,3,0.0,0.0,19,649,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
216,50.0,50.0,50.0,50.0,3,0.0,0.0,34,798,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
206,50.0,50.0,50.0,50.0,3,0.0,0.0,12,569,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
202,50.0,50.0,50.0,50.0,3,0.0,0.0,570,257,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
197,50.0,50.0,50.0,50.0,3,0.0,0.0,264,77,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
193,50.0,50.0,50.0,50.0,3,0.0,0.0,137,681,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
282,50.0,51.0,50.0,50.0,3,0.0,0.0,703,444,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
262,50.0,50.0,50.0,50.0,3,0.0,0.0,277,121,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
228,50.0,50.0,50.0,50.0,3,0.0,0.0,561,312,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
153,50.0,50.0,50.0,50.0,3,0.0,0.0,415,171,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
150,50.0,50.0,50.0,50.0,3,0.0,0.0,366,143,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
141,50.0,50.0,50.0,50.0,3,0.0,0.0,614,267,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
137,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
135,50.0,50.0,50.0,50.0,3,0.0,0.0,332,21,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
133,50.0,50.0,50.0,50.0,3,0.0,0.0,338,124,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
126,50.0,50.0,50.0,50.0,3,0.0,0.0,109,652,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
118,50.0,50.0,50.0,50.0,3,0.0,0.0,641,373,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
113,50.0,50.0,50.0,50.0,3,0.0,0.0,477,66,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
110,50.0,50.0,50.0,50.0,3,0.0,0.0,540,243,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
108,50.0,50.0,50.0,50.0,3,0.0,0.0,337,27,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
106,50.0,50.0,50.0,50.0,3,0.0,0.0,731,403,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
187,50.0,50.0,50.0,50.0,3,0.0,0.0,304,8,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
182,50.0,50.0,50.0,50.0,3,0.0,0.0,310,105,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
178,50.0,50.0,50.0,50.0,3,0.0,0.0,433,175,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
174,50.0,50.0,50.0,50.0,3,0.0,0.0,582,333,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
172,50.0,50.0,50.0,50.0,3,0.0,0.0,354,135,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
131,50.0,50.0,50.0,50.0,3,0.0,0.0,637,366,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
95,50.0,50.0,50.0,50.0,3,0.0,0.0,398,164,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
995,50.0,50.0,50.0,50.0,3,0.0,0.0,398,164,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
992,50.0,50.0,50.0,50.0,3,0.0,0.0,826,548,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
988,50.0,50.0,50.0,50.0,3,0.0,0.0,262,75,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
980,50.0,50.0,50.0,50.0,3,0.0,0.0,296,90,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
975,50.0,50.0,50.0,50.0,3,0.0,0.0,136,680,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
971,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
968,50.0,50.0,50.0,50.0,4,0.0,0.0,0,0,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
964,50.0,50.0,50.0,50.0,3,0.0,0.0,354,135,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
952,50.0,50.0,50.0,50.0,3,0.0,0.0,35,573,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
946,50.0,50.0,50.0,50.0,3,0.0,0.0,262,75,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
944,50.0,50.0,50.0,50.0,3,0.0,0.0,515,279,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
941,50.0,50.0,50.0,50.0,3,0.0,0.0,681,428,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
939,50.0,50.0,50.0,50.0,3,0.0,0.0,451,58,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
929,50.0,50.0,50.0,50.0,3,0.0,0.0,69,598,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
927,50.0,50.0,50.0,50.0,3,0.0,0.0,582,333,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
1015,50.0,50.0,50.0,50.0,3,0.0,0.0,296,90,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
1011,50.0,50.0,50.0,50.0,3,0.0,0.0,74,608,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
1007,50.0,50.0,50.0,50.0,3,0.0,0.0,575,260,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
999,50.0,50.0,50.0,50.0,3,0.0,0.0,709,446,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
994,50.0,50.0,50.0,50.0,3,0.0,0.0,103,636,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
957,50.0,50.0,50.0,50.0,3,0.0,0.0,220,782,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
924,50.0,50.0,50.0,50.0,3,0.0,0.0,453,188,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
904,50.0,50.0,50.0,50.0,3,0.0,0.0,581,263,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
895,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
891,50.0,50.0,50.0,50.0,3,0.0,0.0,576,329,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
888,50.0,50.0,50.0,50.0,3,0.0,0.0,13,570,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
884,50.0,50.0,50.0,50.0,3,0.0,0.0,246,806,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
882,50.0,50.0,50.0,50.0,3,0.0,0.0,621,355,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
868,50.0,50.0,50.0,50.0,3,0.0,0.0,450,57,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
864,50.0,50.0,50.0,50.0,3,0.0,0.0,545,246,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
853,50.0,50.0,50.0,50.0,3,0.0,0.0,323,114,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
850,50.0,50.0,50.0,50.0,3,0.0,0.0,505,72,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
